4 threads
thread 0. word #0. length: 3, partial: 0
thread 0. word #1. length: 1, partial: 0
thread 0. word #2. length: 1, partial: 0
thread 0. word #3. length: 1, partial: 0
thread 0. word #4. length: 1, partial: 0
thread 0. word #5. length: 1, partial: 0
thread 0. word #6. length: 1, partial: 0
thread 0. word #7. length: 1, partial: 0
thread 0. word #8. length: 1, partial: 0
thread 0. word #9. length: 1, partial: 0
thread 0. word #10. length: 1, partial: 0
thread 0. word #11. length: 1, partial: 0
thread 0. word #12. length: 1, partial: 0
thread 0. word #13. length: 1, partial: 0
thread 1. word #0. length: 1, partial: 0
thread 1. word #1. length: 1, partial: 0
thread 1. word #2. length: 1, partial: 0
thread 1. word #3. length: 1, partial: 0
thread 1. word #4. length: 1, partial: 0
thread 1. word #5. length: 2, partial: 0
thread 1. word #6. length: 2, partial: 0
thread 1. word #7. length: 2, partial: 0
thread 1. word #8. length: 1, partial: 0
thread 1. word #9. length: 2, partial: 0
thread 1. word #10. length: 2, partial: 0
thread 1. word #11. length: 2, partial: 0
thread 1. word #12. length: 1, partial: 0
thread 1. word #13. length: 1, partial: 0
thread 1. word #14. length: 1, partial: 0
thread 1. word #15. length: 1, partial: 0
thread 1. word #16. length: 1, partial: 0
thread 2. word #0. length: 1, partial: 0
thread 2. word #1. length: 1, partial: 0
thread 2. word #2. length: 1, partial: 0
thread 2. word #3. length: 1, partial: 0
thread 2. word #4. length: 1, partial: 0
thread 2. word #5. length: 1, partial: 0
thread 2. word #6. length: 2, partial: 0
thread 2. word #7. length: 1, partial: 0
thread 2. word #8. length: 1, partial: 0
thread 2. word #9. length: 1, partial: 0
thread 2. word #10. length: 1, partial: 0
thread 2. word #11. length: 1, partial: 0
thread 2. word #12. length: 1, partial: 0
thread 2. word #13. length: 2, partial: 0
thread 2. word #14. length: 2, partial: 0
thread 2. word #15. length: 2, partial: 0
thread 2. word #16. length: 2, partial: 0
thread 2. word #17. length: 1, partial: 0
thread 2. word #18. length: 2, partial: 0
thread 2. word #19. length: 1, partial: 0
thread 2. word #20. length: 2, partial: 0
thread 2. word #21. length: 2, partial: 0
thread 2. word #22. length: 2, partial: 0
thread 2. word #23. length: 2, partial: 0
thread 3. word #0. length: 27, partial: 0
thread 3. word #1. length: 3, partial: 0
thread 3. word #2. length: 3, partial: 0
thread 3. word #3. length: 6, partial: 0
thread 3. word #4. length: 2, partial: 0
thread 3. word #5. length: 3, partial: 0
thread 3. word #6. length: 1, partial: 0
thread 3. word #7. length: 3, partial: 0
