16 threads
thread 7. word #8. length: 1, partial: 0
thread 7. word #9. length: 1, partial: 0
thread 7. word #10. length: 1, partial: 0
thread 7. word #11. length: 1, partial: 0
thread 7. word #12. length: 1, partial: 0
thread 7. word #13. length: 1, partial: 0
thread 7. word #14. length: 2, partial: 0
thread 7. word #15. length: 2, partial: 0
thread 8. word #0. length: 1, partial: 0
thread 8. word #1. length: 2, partial: 0
thread 8. word #2. length: 1, partial: 0
thread 8. word #3. length: 2, partial: 0
thread 8. word #4. length: 1, partial: 0
thread 8. word #5. length: 1, partial: 0
thread 8. word #6. length: 1, partial: 0
thread 8. word #7. length: 1, partial: 0
thread 8. word #8. length: 1, partial: 0
thread 8. word #9. length: 1, partial: 0
thread 8. word #10. length: 1, partial: 0
thread 8. word #11. length: 1, partial: 0
thread 8. word #12. length: 1, partial: 1
thread 9. word #0. length: 1, partial: 0
thread 9. word #1. length: 1, partial: 0
thread 9. word #2. length: 1, partial: 0
thread 9. word #3. length: 1, partial: 0
thread 9. word #4. length: 1, partial: 0
thread 9. word #5. length: 1, partial: 0
thread 9. word #6. length: 1, partial: 0
thread 9. word #7. length: 1, partial: 0
thread 9. word #8. length: 1, partial: 0
thread 9. word #9. length: 1, partial: 0
thread 9. word #10. length: 1, partial: 0
thread 9. word #11. length: 1, partial: 0
thread 9. word #12. length: 1, partial: 0
thread 10. word #0. length: 1, partial: 0
thread 10. word #1. length: 1, partial: 0
thread 10. word #2. length: 2, partial: 0
thread 10. word #3. length: 2, partial: 0
thread 10. word #4. length: 1, partial: 0
thread 10. word #5. length: 1, partial: 0
thread 10. word #6. length: 1, partial: 0
thread 10. word #7. length: 1, partial: 0
thread 10. word #8. length: 1, partial: 0
thread 10. word #9. length: 1, partial: 0
thread 10. word #10. length: 1, partial: 0
thread 10. word #11. length: 1, partial: 0
thread 10. word #12. length: 2, partial: 0
thread 11. word #0. length: 1, partial: 0
thread 11. word #1. length: 2, partial: 0
thread 11. word #2. length: 2, partial: 0
thread 11. word #3. length: 1, partial: 0
thread 11. word #4. length: 2, partial: 0
thread 11. word #5. length: 1, partial: 0
thread 11. word #6. length: 1, partial: 0
thread 11. word #7. length: 1, partial: 0
thread 11. word #8. length: 1, partial: 0
thread 11. word #9. length: 2, partial: 0
thread 11. word #10. length: 2, partial: 0
thread 11. word #11. length: 1, partial: 0
thread 11. word #12. length: 1, partial: 0
thread 11. word #13. length: 1, partial: 1
thread 12. word #0. length: 1, partial: 0
thread 12. word #1. length: 1, partial: 0
thread 12. word #2. length: 1, partial: 0
thread 12. word #3. length: 1, partial: 0
thread 12. word #4. length: 1, partial: 0
thread 12. word #5. length: 1, partial: 0
thread 12. word #6. length: 1, partial: 0
thread 12. word #7. length: 1, partial: 0
thread 12. word #8. length: 1, partial: 1
thread 13. word #0. length: 1, partial: 0
thread 13. word #1. length: 1, partial: 0
thread 13. word #2. length: 1, partial: 0
thread 13. word #3. length: 1, partial: 0
thread 13. word #4. length: 1, partial: 0
thread 13. word #5. length: 2, partial: 0
thread 13. word #6. length: 1, partial: 0
thread 13. word #7. length: 1, partial: 0
thread 13. word #8. length: 1, partial: 0
thread 13. word #9. length: 1, partial: 0
thread 13. word #10. length: 1, partial: 0
thread 13. word #11. length: 1, partial: 0
thread 14. word #0. length: 1, partial: 0
thread 14. word #1. length: 1, partial: 0
thread 14. word #2. length: 1, partial: 0
thread 14. word #3. length: 1, partial: 0
thread 14. word #4. length: 1, partial: 0
thread 14. word #5. length: 1, partial: 0
thread 14. word #6. length: 1, partial: 0
thread 14. word #7. length: 2, partial: 0
thread 14. word #8. length: 1, partial: 0
thread 15. word #0. length: 1, partial: 0
thread 15. word #1. length: 1, partial: 0
thread 15. word #2. length: 1, partial: 0
thread 15. word #3. length: 1, partial: 0
thread 15. word #4. length: 1, partial: 0
thread 15. word #5. length: 1, partial: 0
thread 15. word #6. length: 1, partial: 0
thread 15. word #7. length: 2, partial: 0
thread 15. word #8. length: 1, partial: 0
thread 15. word #9. length: 2, partial: 1
total words 4 or greater seen: 0
thread 0. word #0. length: 1, partial: 0
thread 0. word #1. length: 1, partial: 0
thread 0. word #2. length: 1, partial: 0
thread 0. word #3. length: 1, partial: 0
thread 0. word #4. length: 2, partial: 0
thread 0. word #5. length: 1, partial: 0
thread 0. word #6. length: 1, partial: 0
thread 0. word #7. length: 2, partial: 0
thread 0. word #8. length: 1, partial: 0
thread 0. word #9. length: 1, partial: 0
thread 0. word #10. length: 1, partial: 0
thread 0. word #11. length: 2, partial: 1
thread 1. word #0. length: 1, partial: 0
thread 1. word #1. length: 1, partial: 0
thread 1. word #2. length: 1, partial: 0
thread 1. word #3. length: 1, partial: 0
thread 1. word #4. length: 1, partial: 0
thread 1. word #5. length: 1, partial: 0
thread 1. word #6. length: 1, partial: 0
thread 1. word #7. length: 1, partial: 0
thread 2. word #0. length: 1, partial: 0
thread 2. word #1. length: 2, partial: 0
thread 2. word #2. length: 1, partial: 0
thread 2. word #3. length: 1, partial: 0
thread 2. word #4. length: 1, partial: 0
thread 2. word #5. length: 3, partial: 0
thread 2. word #6. length: 2, partial: 0
thread 2. word #7. length: 1, partial: 0
thread 2. word #8. length: 2, partial: 0
thread 2. word #9. length: 1, partial: 0
thread 2. word #10. length: 1, partial: 0
thread 2. word #11. length: 1, partial: 0
thread 3. word #0. length: 1, partial: 0
thread 3. word #1. length: 1, partial: 0
thread 3. word #2. length: 1, partial: 0
thread 3. word #3. length: 1, partial: 0
thread 3. word #4. length: 1, partial: 0
thread 3. word #5. length: 1, partial: 0
thread 3. word #6. length: 2, partial: 0
thread 3. word #7. length: 1, partial: 0
thread 3. word #8. length: 2, partial: 0
thread 3. word #9. length: 1, partial: 0
thread 3. word #10. length: 1, partial: 0
thread 3. word #11. length: 1, partial: 0
thread 3. word #12. length: 1, partial: 0
thread 3. word #13. length: 1, partial: 0
thread 3. word #14. length: 1, partial: 0
thread 4. word #0. length: 1, partial: 0
thread 4. word #1. length: 1, partial: 0
thread 4. word #2. length: 1, partial: 0
thread 4. word #3. length: 1, partial: 0
thread 4. word #4. length: 1, partial: 0
thread 4. word #5. length: 1, partial: 0
thread 4. word #6. length: 1, partial: 0
thread 4. word #7. length: 1, partial: 0
thread 4. word #8. length: 1, partial: 0
thread 4. word #9. length: 1, partial: 0
thread 4. word #10. length: 1, partial: 0
thread 4. word #11. length: 1, partial: 0
thread 4. word #12. length: 1, partial: 0
thread 4. word #13. length: 1, partial: 0
thread 4. word #14. length: 1, partial: 0
thread 4. word #15. length: 1, partial: 0
thread 4. word #16. length: 1, partial: 0
thread 4. word #17. length: 1, partial: 0
thread 5. word #0. length: 1, partial: 0
thread 5. word #1. length: 1, partial: 0
thread 5. word #2. length: 1, partial: 0
thread 5. word #3. length: 2, partial: 0
thread 5. word #4. length: 1, partial: 0
thread 5. word #5. length: 1, partial: 0
thread 5. word #6. length: 1, partial: 0
thread 5. word #7. length: 2, partial: 0
thread 5. word #8. length: 1, partial: 0
thread 5. word #9. length: 1, partial: 0
thread 5. word #10. length: 1, partial: 0
thread 5. word #11. length: 1, partial: 0
thread 6. word #0. length: 2, partial: 0
thread 6. word #1. length: 1, partial: 0
thread 6. word #2. length: 1, partial: 0
thread 6. word #3. length: 1, partial: 0
thread 6. word #4. length: 1, partial: 0
thread 6. word #5. length: 1, partial: 0
thread 6. word #6. length: 1, partial: 0
thread 6. word #7. length: 1, partial: 0
thread 6. word #8. length: 1, partial: 0
thread 6. word #9. length: 2, partial: 0
thread 7. word #0. length: 1, partial: 0
thread 7. word #1. length: 2, partial: 0
thread 7. word #2. length: 1, partial: 0
thread 7. word #3. length: 1, partial: 0
thread 7. word #4. length: 1, partial: 0
thread 7. word #5. length: 1, partial: 0
thread 7. word #6. length: 1, partial: 0
thread 7. word #7. length: 1, partial: 0
thread 7. word #8. length: 1, partial: 0
thread 7. word #9. length: 1, partial: 0
thread 7. word #10. length: 1, partial: 0
thread 7. word #11. length: 1, partial: 0
thread 7. word #12. length: 2, partial: 0
thread 7. word #13. length: 1, partial: 0
thread 7. word #14. length: 1, partial: 0
thread 7. word #15. length: 1, partial: 0
thread 7. word #16. length: 1, partial: 0
thread 7. word #17. length: 1, partial: 0
thread 7. word #18. length: 1, partial: 0
thread 7. word #19. length: 1, partial: 1
thread 8. word #0. length: 1, partial: 0
thread 8. word #1. length: 1, partial: 0
thread 8. word #2. length: 1, partial: 0
thread 8. word #3. length: 1, partial: 0
thread 8. word #4. length: 1, partial: 0
thread 8. word #5. length: 1, partial: 0
thread 8. word #6. length: 1, partial: 0
thread 8. word #7. length: 1, partial: 0
thread 8. word #8. length: 1, partial: 0
thread 8. word #9. length: 1, partial: 0
thread 8. word #10. length: 1, partial: 0
thread 8. word #11. length: 1, partial: 0
thread 9. word #0. length: 2, partial: 0
thread 9. word #1. length: 1, partial: 0
thread 9. word #2. length: 1, partial: 0
thread 9. word #3. length: 1, partial: 0
thread 9. word #4. length: 1, partial: 0
thread 9. word #5. length: 1, partial: 0
thread 9. word #6. length: 1, partial: 0
thread 9. word #7. length: 1, partial: 0
thread 9. word #8. length: 1, partial: 0
thread 9. word #9. length: 1, partial: 0
thread 9. word #10. length: 3, partial: 0
thread 9. word #11. length: 1, partial: 0
thread 9. word #12. length: 3, partial: 1
thread 10. word #0. length: 3, partial: 0
thread 10. word #1. length: 3, partial: 0
thread 10. word #2. length: 2, partial: 0
thread 10. word #3. length: 1, partial: 0
thread 10. word #4. length: 3, partial: 0
thread 10. word #5. length: 1, partial: 0
thread 10. word #6. length: 1, partial: 0
thread 10. word #7. length: 1, partial: 0
thread 10. word #8. length: 1, partial: 0
thread 10. word #9. length: 1, partial: 0
thread 10. word #10. length: 1, partial: 0
thread 10. word #11. length: 1, partial: 0
thread 10. word #12. length: 1, partial: 0
thread 10. word #13. length: 1, partial: 0
thread 10. word #14. length: 1, partial: 0
thread 11. word #0. length: 2, partial: 0
thread 11. word #1. length: 1, partial: 0
thread 11. word #2. length: 1, partial: 0
thread 11. word #3. length: 10, partial: 0
thread 11. word #4. length: 3, partial: 0
thread 11. word #5. length: 2, partial: 0
thread 11. word #6. length: 1, partial: 0
thread 12. word #0. length: 1, partial: 0
thread 12. word #1. length: 1, partial: 0
total words 4 or greater seen: 1
thread 0. word #0. length: 27, partial: 0
thread 0. word #1. length: 4, partial: 0
thread 0. word #2. length: 20, partial: 0
thread 0. word #3. length: 2, partial: 1
thread 1. word #0. length: 9, partial: 0
thread 1. word #1. length: 19, partial: 0
thread 1. word #2. length: 14, partial: 0
thread 1. word #3. length: 19, partial: 1
thread 2. word #0. length: 7, partial: 0
thread 2. word #1. length: 33, partial: 0
thread 2. word #2. length: 22, partial: 1
thread 3. word #0. length: 3, partial: 0
thread 3. word #1. length: 38, partial: 0
thread 3. word #2. length: 17, partial: 1
thread 4. word #0. length: 2, partial: 0
thread 4. word #1. length: 45, partial: 0
thread 4. word #2. length: 8, partial: 1
thread 5. word #0. length: 26, partial: 0
thread 5. word #1. length: 23, partial: 0
thread 5. word #2. length: 1, partial: 0
thread 6. word #0. length: 1, partial: 0
thread 6. word #1. length: 1, partial: 0
thread 6. word #2. length: 1, partial: 0
thread 7. word #0. length: 1, partial: 0
thread 7. word #1. length: 1, partial: 0
thread 7. word #2. length: 1, partial: 0
thread 7. word #3. length: 1, partial: 0
thread 7. word #4. length: 1, partial: 0
thread 7. word #5. length: 1, partial: 0
thread 7. word #6. length: 1, partial: 0
thread 8. word #0. length: 2, partial: 0
thread 8. word #1. length: 1, partial: 0
thread 8. word #2. length: 1, partial: 0
thread 8. word #3. length: 1, partial: 0
thread 8. word #4. length: 1, partial: 0
thread 8. word #5. length: 1, partial: 0
thread 8. word #6. length: 1, partial: 0
thread 9. word #0. length: 1, partial: 0
thread 9. word #1. length: 1, partial: 0
thread 9. word #2. length: 2, partial: 0
thread 9. word #3. length: 1, partial: 0
thread 9. word #4. length: 5, partial: 0
thread 9. word #5. length: 1, partial: 0
thread 9. word #6. length: 1, partial: 0
thread 10. word #0. length: 1, partial: 0
thread 10. word #1. length: 1, partial: 0
thread 10. word #2. length: 1, partial: 0
thread 10. word #3. length: 2, partial: 0
thread 10. word #4. length: 1, partial: 0
thread 10. word #5. length: 1, partial: 0
thread 10. word #6. length: 1, partial: 0
thread 10. word #7. length: 1, partial: 0
thread 10. word #8. length: 1, partial: 0
thread 10. word #9. length: 2, partial: 1
thread 11. word #0. length: 1, partial: 0
thread 11. word #1. length: 1, partial: 0
thread 11. word #2. length: 1, partial: 0
thread 11. word #3. length: 1, partial: 0
thread 11. word #4. length: 2, partial: 0
thread 11. word #5. length: 1, partial: 0
thread 11. word #6. length: 1, partial: 0
thread 12. word #0. length: 2, partial: 0
thread 12. word #1. length: 1, partial: 0
thread 12. word #2. length: 1, partial: 0
thread 12. word #3. length: 1, partial: 0
thread 12. word #4. length: 2, partial: 0
thread 12. word #5. length: 1, partial: 0
thread 12. word #6. length: 1, partial: 0
thread 12. word #7. length: 1, partial: 0
thread 12. word #8. length: 1, partial: 0
thread 13. word #0. length: 2, partial: 0
thread 13. word #1. length: 1, partial: 0
thread 13. word #2. length: 1, partial: 0
thread 13. word #3. length: 1, partial: 0
thread 13. word #4. length: 1, partial: 0
thread 13. word #5. length: 2, partial: 0
thread 13. word #6. length: 1, partial: 0
thread 13. word #7. length: 1, partial: 0
thread 13. word #8. length: 1, partial: 0
thread 13. word #9. length: 1, partial: 0
thread 14. word #0. length: 2, partial: 0
thread 14. word #1. length: 2, partial: 0
thread 14. word #2. length: 1, partial: 0
thread 14. word #3. length: 1, partial: 0
thread 14. word #4. length: 1, partial: 0
thread 14. word #5. length: 2, partial: 0
thread 14. word #6. length: 1, partial: 0
thread 14. word #7. length: 1, partial: 0
thread 14. word #8. length: 1, partial: 0
thread 15. word #0. length: 1, partial: 0
thread 15. word #1. length: 1, partial: 0
thread 15. word #2. length: 1, partial: 0
thread 15. word #3. length: 1, partial: 0
thread 15. word #4. length: 1, partial: 0
thread 15. word #5. length: 1, partial: 0
thread 15. word #6. length: 1, partial: 0
thread 15. word #7. length: 1, partial: 0
thread 15. word #8. length: 1, partial: 0
thread 15. word #9. length: 1, partial: 0
thread 15. word #10. length: 1, partial: 0
thread 15. word #11. length: 2, partial: 0
thread 15. word #12. length: 2, partial: 0
thread 15. word #13. length: 2, partial: 0
thread 15. word #14. length: 2, partial: 0
thread 15. word #15. length: 2, partial: 0
thread 15. word #16. length: 1, partial: 0
thread 15. word #17. length: 1, partial: 0
total words 4 or greater seen: 17
total words 4 or greater seen: 0
total words 4 or greater seen: 0
thread 5. word #0. length: 1, partial: 0
thread 5. word #1. length: 1, partial: 0
thread 5. word #2. length: 1, partial: 0
thread 6. word #0. length: 2, partial: 0
thread 6. word #1. length: 2, partial: 0
thread 7. word #0. length: 1, partial: 0
thread 7. word #1. length: 1, partial: 0
thread 8. word #0. length: 1, partial: 0
thread 8. word #1. length: 2, partial: 0
thread 9. word #0. length: 1, partial: 0
thread 9. word #1. length: 1, partial: 0
thread 9. word #2. length: 1, partial: 0
thread 10. word #0. length: 1, partial: 0
thread 10. word #1. length: 1, partial: 0
thread 10. word #2. length: 1, partial: 0
thread 11. word #0. length: 1, partial: 0
thread 11. word #1. length: 1, partial: 0
thread 11. word #2. length: 1, partial: 0
thread 13. word #0. length: 2, partial: 0
thread 13. word #1. length: 1, partial: 0
thread 13. word #2. length: 1, partial: 0
thread 13. word #3. length: 1, partial: 0
thread 13. word #4. length: 1, partial: 0
thread 14. word #0. length: 1, partial: 0
total words 4 or greater seen: 0
thread 0. word #0. length: 1, partial: 0
thread 0. word #1. length: 42, partial: 0
thread 1. word #0. length: 1, partial: 0
thread 2. word #0. length: 1, partial: 0
thread 2. word #1. length: 1, partial: 0
thread 4. word #0. length: 1, partial: 0
thread 4. word #1. length: 1, partial: 0
thread 4. word #2. length: 1, partial: 0
thread 5. word #0. length: 1, partial: 0
thread 5. word #1. length: 1, partial: 0
thread 5. word #2. length: 1, partial: 0
thread 5. word #3. length: 1, partial: 0
thread 6. word #0. length: 1, partial: 0
thread 6. word #1. length: 1, partial: 0
thread 6. word #2. length: 1, partial: 0
thread 7. word #0. length: 1, partial: 0
thread 7. word #1. length: 1, partial: 0
thread 8. word #0. length: 2, partial: 0
thread 8. word #1. length: 1, partial: 0
thread 9. word #0. length: 2, partial: 0
thread 9. word #1. length: 2, partial: 0
thread 9. word #2. length: 2, partial: 0
thread 10. word #0. length: 2, partial: 0
thread 10. word #1. length: 1, partial: 0
thread 10. word #2. length: 2, partial: 0
thread 11. word #0. length: 1, partial: 0
thread 12. word #0. length: 1, partial: 0
thread 12. word #1. length: 1, partial: 0
thread 13. word #0. length: 1, partial: 0
thread 13. word #1. length: 2, partial: 0
thread 13. word #2. length: 1, partial: 0
thread 13. word #3. length: 2, partial: 0
thread 13. word #4. length: 1, partial: 0
thread 14. word #0. length: 1, partial: 0
thread 14. word #1. length: 2, partial: 0
thread 15. word #0. length: 2, partial: 0
total words 4 or greater seen: 1
thread 0. word #0. length: 1, partial: 0
thread 0. word #1. length: 2, partial: 0
thread 0. word #2. length: 2, partial: 0
thread 1. word #0. length: 2, partial: 0
thread 1. word #1. length: 2, partial: 0
thread 2. word #0. length: 2, partial: 0
thread 2. word #1. length: 1, partial: 0
thread 3. word #0. length: 1, partial: 0
thread 4. word #0. length: 1, partial: 0
thread 4. word #1. length: 1, partial: 0
thread 4. word #2. length: 1, partial: 0
thread 4. word #3. length: 1, partial: 0
thread 4. word #4. length: 1, partial: 0
thread 4. word #5. length: 1, partial: 0
thread 5. word #0. length: 2, partial: 0
thread 5. word #1. length: 1, partial: 0
thread 5. word #2. length: 1, partial: 0
thread 5. word #3. length: 1, partial: 0
thread 6. word #0. length: 1, partial: 0
thread 6. word #1. length: 1, partial: 0
thread 6. word #2. length: 1, partial: 0
thread 7. word #0. length: 2, partial: 0
thread 8. word #0. length: 1, partial: 0
thread 9. word #0. length: 2, partial: 0
thread 9. word #1. length: 1, partial: 0
thread 10. word #0. length: 1, partial: 0
thread 10. word #1. length: 1, partial: 0
thread 10. word #2. length: 1, partial: 0
thread 11. word #0. length: 1, partial: 0
thread 11. word #1. length: 1, partial: 0
thread 11. word #2. length: 1, partial: 0
thread 11. word #3. length: 1, partial: 0
thread 12. word #0. length: 1, partial: 0
thread 12. word #1. length: 1, partial: 0
thread 12. word #2. length: 1, partial: 0
thread 13. word #0. length: 1, partial: 0
thread 13. word #1. length: 1, partial: 0
thread 13. word #2. length: 1, partial: 0
thread 14. word #0. length: 1, partial: 0
thread 14. word #1. length: 1, partial: 0
thread 14. word #2. length: 1, partial: 0
thread 15. word #0. length: 1, partial: 0
thread 15. word #1. length: 1, partial: 0
thread 15. word #2. length: 1, partial: 0
thread 15. word #3. length: 1, partial: 0
thread 15. word #4. length: 1, partial: 0
total words 4 or greater seen: 0
thread 0. word #0. length: 1, partial: 0
thread 0. word #1. length: 1, partial: 0
thread 0. word #2. length: 1, partial: 0
thread 1. word #0. length: 1, partial: 0
thread 1. word #1. length: 1, partial: 0
thread 2. word #0. length: 1, partial: 0
thread 2. word #1. length: 1, partial: 0
thread 2. word #2. length: 1, partial: 0
thread 3. word #0. length: 1, partial: 0
thread 3. word #1. length: 1, partial: 0
thread 3. word #2. length: 2, partial: 0
thread 3. word #3. length: 1, partial: 0
thread 4. word #0. length: 2, partial: 0
thread 5. word #0. length: 1, partial: 0
thread 5. word #1. length: 10, partial: 0
thread 5. word #2. length: 4, partial: 1
thread 6. word #0. length: 16, partial: 0
thread 6. word #1. length: 21, partial: 0
thread 6. word #2. length: 14, partial: 0
thread 6. word #3. length: 10, partial: 1
thread 7. word #0. length: 28, partial: 0
thread 7. word #1. length: 11, partial: 0
thread 7. word #2. length: 23, partial: 1
thread 8. word #0. length: 7, partial: 0
thread 8. word #1. length: 7, partial: 0
thread 8. word #2. length: 13, partial: 0
thread 8. word #3. length: 16, partial: 0
thread 8. word #4. length: 8, partial: 0
thread 8. word #5. length: 8, partial: 1
thread 9. word #0. length: 10, partial: 0
thread 9. word #1. length: 18, partial: 0
thread 9. word #2. length: 21, partial: 0
thread 9. word #3. length: 12, partial: 1
thread 10. word #0. length: 2, partial: 0
thread 10. word #1. length: 9, partial: 0
thread 10. word #2. length: 15, partial: 0
thread 10. word #3. length: 27, partial: 0
thread 10. word #4. length: 7, partial: 1
thread 11. word #0. length: 20, partial: 0
thread 11. word #1. length: 16, partial: 0
thread 11. word #2. length: 17, partial: 0
thread 11. word #3. length: 8, partial: 1
thread 12. word #0. length: 4, partial: 0
thread 12. word #1. length: 6, partial: 0
thread 12. word #2. length: 4, partial: 0
thread 12. word #3. length: 15, partial: 0
thread 12. word #4. length: 27, partial: 0
thread 12. word #5. length: 3, partial: 1
thread 13. word #0. length: 14, partial: 0
thread 13. word #1. length: 19, partial: 0
thread 13. word #2. length: 7, partial: 0
thread 13. word #3. length: 12, partial: 0
thread 13. word #4. length: 7, partial: 0
thread 14. word #0. length: 18, partial: 0
thread 14. word #1. length: 15, partial: 0
thread 14. word #2. length: 17, partial: 0
thread 14. word #3. length: 11, partial: 1
thread 15. word #0. length: 19, partial: 0
thread 15. word #1. length: 7, partial: 0
thread 15. word #2. length: 12, partial: 0
thread 15. word #3. length: 19, partial: 0
thread 15. word #4. length: 3, partial: 1
total words 4 or greater seen: 45
thread 0. word #0. length: 11, partial: 0
thread 0. word #1. length: 12, partial: 0
thread 0. word #2. length: 14, partial: 0
thread 0. word #3. length: 9, partial: 0
thread 0. word #4. length: 5, partial: 0
thread 0. word #5. length: 8, partial: 1
thread 1. word #0. length: 7, partial: 0
thread 1. word #1. length: 21, partial: 0
thread 1. word #2. length: 11, partial: 0
thread 1. word #3. length: 4, partial: 0
thread 1. word #4. length: 17, partial: 1
thread 2. word #0. length: 17, partial: 0
thread 2. word #1. length: 7, partial: 0
thread 2. word #2. length: 19, partial: 0
thread 2. word #3. length: 17, partial: 1
thread 3. word #0. length: 8, partial: 0
thread 3. word #1. length: 17, partial: 0
thread 3. word #2. length: 17, partial: 0
thread 3. word #3. length: 11, partial: 0
thread 3. word #4. length: 7, partial: 1
thread 4. word #0. length: 25, partial: 0
thread 4. word #1. length: 9, partial: 0
thread 4. word #2. length: 16, partial: 0
thread 4. word #3. length: 10, partial: 1
thread 5. word #0. length: 17, partial: 0
thread 5. word #1. length: 24, partial: 0
thread 5. word #2. length: 7, partial: 0
thread 5. word #3. length: 7, partial: 0
thread 5. word #4. length: 4, partial: 1
thread 6. word #0. length: 5, partial: 0
thread 6. word #1. length: 7, partial: 0
thread 6. word #2. length: 18, partial: 0
thread 6. word #3. length: 18, partial: 0
thread 6. word #4. length: 12, partial: 1
thread 7. word #0. length: 1, partial: 0
thread 7. word #1. length: 9, partial: 0
thread 7. word #2. length: 7, partial: 0
thread 7. word #3. length: 7, partial: 0
thread 7. word #4. length: 12, partial: 0
thread 7. word #5. length: 14, partial: 0
thread 7. word #6. length: 8, partial: 1
thread 8. word #0. length: 1, partial: 0
thread 8. word #1. length: 9, partial: 0
thread 8. word #2. length: 5, partial: 0
thread 8. word #3. length: 8, partial: 0
thread 8. word #4. length: 8, partial: 0
thread 8. word #5. length: 5, partial: 0
thread 8. word #6. length: 5, partial: 0
thread 8. word #7. length: 7, partial: 0
thread 8. word #8. length: 8, partial: 1
thread 9. word #0. length: 5, partial: 0
thread 9. word #1. length: 9, partial: 0
thread 9. word #2. length: 11, partial: 0
thread 9. word #3. length: 11, partial: 0
thread 9. word #4. length: 8, partial: 0
thread 9. word #5. length: 5, partial: 0
thread 9. word #6. length: 4, partial: 0
thread 9. word #7. length: 4, partial: 1
thread 10. word #0. length: 4, partial: 0
thread 12. word #0. length: 1, partial: 0
thread 12. word #1. length: 1, partial: 0
thread 12. word #2. length: 1, partial: 0
thread 12. word #3. length: 1, partial: 0
thread 13. word #0. length: 1, partial: 0
thread 13. word #1. length: 1, partial: 0
thread 13. word #2. length: 1, partial: 0
thread 13. word #3. length: 1, partial: 0
thread 14. word #0. length: 1, partial: 0
thread 14. word #1. length: 1, partial: 0
thread 14. word #2. length: 1, partial: 0
thread 14. word #3. length: 1, partial: 0
thread 15. word #0. length: 1, partial: 0
thread 15. word #1. length: 1, partial: 0
thread 15. word #2. length: 1, partial: 0
total words 4 or greater seen: 57
thread 0. word #0. length: 1, partial: 0
thread 0. word #1. length: 1, partial: 0
thread 1. word #0. length: 1, partial: 0
thread 2. word #0. length: 1, partial: 0
thread 2. word #1. length: 1, partial: 0
thread 2. word #2. length: 1, partial: 0
thread 3. word #0. length: 1, partial: 0
thread 3. word #1. length: 1, partial: 0
thread 3. word #2. length: 1, partial: 0
thread 4. word #0. length: 1, partial: 0
thread 4. word #1. length: 1, partial: 0
thread 5. word #0. length: 1, partial: 0
thread 5. word #1. length: 1, partial: 0
thread 5. word #2. length: 1, partial: 0
thread 5. word #3. length: 1, partial: 0
thread 7. word #0. length: 1, partial: 0
thread 7. word #1. length: 1, partial: 0
thread 8. word #0. length: 1, partial: 0
thread 8. word #1. length: 1, partial: 0
thread 9. word #0. length: 1, partial: 0
thread 9. word #1. length: 1, partial: 0
thread 10. word #0. length: 1, partial: 0
thread 10. word #1. length: 1, partial: 0
thread 10. word #2. length: 1, partial: 0
thread 11. word #0. length: 1, partial: 0
thread 12. word #0. length: 1, partial: 0
thread 12. word #1. length: 1, partial: 0
thread 12. word #2. length: 1, partial: 0
thread 13. word #0. length: 2, partial: 0
thread 13. word #1. length: 2, partial: 0
thread 14. word #0. length: 1, partial: 0
thread 14. word #1. length: 1, partial: 0
thread 14. word #2. length: 1, partial: 0
thread 15. word #0. length: 2, partial: 0
thread 15. word #1. length: 2, partial: 0
total words 4 or greater seen: 0
thread 0. word #0. length: 2, partial: 0
thread 0. word #1. length: 2, partial: 0
thread 2. word #0. length: 2, partial: 0
thread 2. word #1. length: 2, partial: 0
thread 4. word #0. length: 2, partial: 0
thread 4. word #1. length: 2, partial: 0
thread 5. word #0. length: 1, partial: 0
thread 6. word #0. length: 1, partial: 0
thread 7. word #0. length: 1, partial: 0
thread 7. word #1. length: 2, partial: 0
thread 7. word #2. length: 1, partial: 0
thread 8. word #0. length: 1, partial: 0
thread 8. word #1. length: 1, partial: 0
thread 9. word #0. length: 1, partial: 0
thread 9. word #1. length: 1, partial: 0
thread 9. word #2. length: 1, partial: 0
thread 11. word #0. length: 2, partial: 0
thread 11. word #1. length: 2, partial: 0
thread 11. word #2. length: 1, partial: 0
thread 12. word #0. length: 1, partial: 0
thread 12. word #1. length: 1, partial: 1
thread 13. word #0. length: 1, partial: 0
thread 14. word #0. length: 2, partial: 0
total words 4 or greater seen: 0
File size: 17992
Maximum string length: 45
Strings of at least length 4: 132
